date,maturity_0.33,maturity_0.67,maturity_1.00,maturity_1.50,maturity_2.00,maturity_2.50,maturity_3.00,maturity_3.50,maturity_4.00,maturity_4.50,maturity_5.00,beta0,beta1,beta2,tau
2009-01-02,1.01,0.87,0.9,1.12,1.41,1.68,1.91,2.09,2.23,2.35,2.45,3.396553372296509,-1.8247201149965884,-5.254789518991069,0.6671618822602375
2009-01-05,0.97,0.87,0.91,1.14,1.44,1.72,1.95,2.14,2.29,2.41,2.52,3.5202081035649537,-2.062121120620695,-5.169971420636678,0.6919553902459793
2009-01-06,0.96,0.9,0.96,1.19,1.48,1.75,1.98,2.16,2.31,2.44,2.54,3.547039523712203,-2.203047147615793,-4.790215767331068,0.7198030147397558
2009-01-07,0.91,0.84,0.89,1.1,1.38,1.64,1.87,2.06,2.22,2.35,2.47,3.5613983975112293,-2.296568577432284,-4.8178564533403225,0.7739507814366069
2009-01-08,0.85,0.79,0.85,1.04,1.29,1.54,1.76,1.95,2.11,2.25,2.37,3.5326132751947963,-2.4087849199936047,-4.546878592749693,0.8474860816969214
2009-01-09,0.85,0.77,0.81,1.01,1.26,1.5,1.72,1.91,2.06,2.2,2.32,3.4268640038118323,-2.2552575539838093,-4.641887042421287,0.8144206445403276
2009-01-12,0.9,0.79,0.82,1.01,1.27,1.52,1.75,1.94,2.1,2.24,2.36,3.4889346762385687,-2.2003494356288487,-4.970004523152341,0.7962681457803062
2009-01-13,0.88,0.79,0.83,1.03,1.29,1.56,1.79,1.99,2.15,2.29,2.41,3.5660101313744987,-2.3177044166058103,-4.97195082869747,0.7997425292392204
2009-01-14,0.91,0.84,0.89,1.08,1.33,1.58,1.81,1.99,2.15,2.29,2.4,3.531347159831227,-2.310887258885564,-4.631749106276637,0.821622083626588
2009-01-15,0.9,0.83,0.88,1.07,1.32,1.56,1.78,1.97,2.13,2.26,2.38,3.509727034866705,-2.3126642699260858,-4.568615235944899,0.8313809748029353
2009-01-16,0.89,0.82,0.87,1.06,1.32,1.57,1.8,2.0,2.17,2.31,2.44,3.666667543997759,-2.4807228700508306,-4.784322201757228,0.8573527675756988
2009-01-19,0.91,0.84,0.88,1.08,1.34,1.6,1.83,2.03,2.21,2.36,2.49,3.763430159618538,-2.552235243880249,-4.911683751201904,0.8669511596647762
2009-01-20,0.82,0.72,0.74,0.92,1.17,1.43,1.66,1.87,2.06,2.22,2.36,3.7550694717701862,-2.6075497735837443,-5.22268740517368,0.909673569553608
2009-01-21,0.76,0.67,0.7,0.86,1.1,1.34,1.58,1.79,1.98,2.15,2.3,3.8409704674265437,-2.8105267059012453,-5.169560680830193,0.9954897994593294
2009-01-22,0.75,0.69,0.74,0.92,1.16,1.41,1.65,1.86,2.06,2.23,2.38,3.9654044219670705,-2.997267337269464,-5.015568957069207,1.0214630268971632
2009-01-23,0.74,0.7,0.74,0.91,1.15,1.41,1.65,1.88,2.09,2.27,2.43,4.239336752710892,-3.2994119064565792,-5.244513178816231,1.102272136553236
2009-01-26,0.71,0.68,0.74,0.92,1.17,1.43,1.67,1.9,2.1,2.28,2.43,4.1382843103534706,-3.2446949211881924,-5.035313074583691,1.0675169484576628
2009-01-27,0.76,0.74,0.79,0.96,1.19,1.44,1.69,1.91,2.11,2.29,2.45,4.275420273328948,-3.3511616526975168,-5.028853555738812,1.139423588209885
2009-01-28,0.74,0.71,0.74,0.91,1.14,1.39,1.64,1.87,2.07,2.25,2.41,4.240490729151638,-3.3054007704763313,-5.206164988655894,1.1216760737375422
2009-01-29,0.75,0.72,0.74,0.89,1.12,1.37,1.61,1.84,2.04,2.22,2.38,4.243565721602822,-3.2904501641130413,-5.251075411697673,1.1410783256516883
2009-01-30,0.75,0.72,0.75,0.89,1.1,1.34,1.58,1.8,2.01,2.19,2.36,4.40195638339814,-3.482990515441773,-5.2680182445479,1.240871160295673
2009-02-02,0.76,0.76,0.8,0.95,1.17,1.41,1.64,1.86,2.06,2.24,2.39,4.3133937338048,-3.413108029928159,-4.904201448253509,1.220973999951751
2009-02-03,0.74,0.72,0.78,0.94,1.17,1.41,1.65,1.87,2.07,2.25,2.42,4.326014939158003,-3.448276652260769,-4.9684826330070395,1.1975983678649358
2009-02-04,0.74,0.72,0.77,0.94,1.17,1.43,1.67,1.9,2.1,2.29,2.45,4.337601238650944,-3.4361499468339494,-5.113156692467625,1.1577495660300494
2009-02-05,0.72,0.72,0.78,0.96,1.19,1.45,1.69,1.92,2.12,2.29,2.45,4.255238743711247,-3.3934893892686357,-4.877384510054062,1.1401801744519438
2009-02-06,0.69,0.68,0.74,0.91,1.15,1.4,1.65,1.87,2.07,2.26,2.42,4.294867171176344,-3.4611705680104077,-4.996352552425122,1.16362986245737
2009-02-09,0.68,0.66,0.71,0.89,1.13,1.38,1.63,1.86,2.07,2.26,2.42,4.331426621891498,-3.492242286112691,-5.165245999060384,1.156860681395227
2009-02-10,0.7,0.67,0.73,0.91,1.14,1.39,1.63,1.85,2.05,2.23,2.38,4.1262937978668415,-3.2637357317502165,-4.930856709130005,1.1091320177020423
2009-02-11,0.52,0.47,0.5,0.63,0.85,1.1,1.35,1.58,1.79,1.98,2.15,4.199170916805925,-3.4748822190474318,-5.536696970579891,1.201218475376023
2009-02-12,0.51,0.47,0.5,0.65,0.87,1.12,1.37,1.6,1.8,1.99,2.15,4.085954152018512,-3.3779381299904383,-5.344988156213297,1.164348958029966
2009-02-13,0.49,0.47,0.52,0.67,0.9,1.15,1.4,1.63,1.84,2.03,2.19,4.203723321651227,-3.5523994399950007,-5.251401392445073,1.2057287591436228
2009-02-16,0.5,0.49,0.53,0.68,0.9,1.16,1.42,1.65,1.86,2.04,2.2,4.190059461729687,-3.5144157982349737,-5.277390748813662,1.1879736524700828
2009-02-17,0.48,0.47,0.5,0.66,0.88,1.14,1.39,1.62,1.83,2.02,2.18,4.19694186308042,-3.545589083751576,-5.296817713425661,1.201151243111062
2009-02-18,0.55,0.56,0.63,0.81,1.04,1.29,1.53,1.76,1.95,2.13,2.28,4.09838620495727,-3.4314273083582947,-4.72773176405998,1.1664427573105245
2009-02-19,0.57,0.56,0.61,0.78,1.03,1.3,1.56,1.8,2.0,2.18,2.34,4.166035220935333,-3.407375848737858,-5.21954498127638,1.097805023015202
2009-02-20,0.58,0.57,0.62,0.8,1.03,1.28,1.52,1.74,1.94,2.12,2.28,4.100190875684334,-3.3738935214066457,-4.917193950094047,1.1508738223526904
2009-02-23,0.54,0.54,0.6,0.8,1.03,1.28,1.51,1.73,1.94,2.11,2.27,4.064468513749701,-3.4052897739863637,-4.7482999371708186,1.1540058518006633
2009-02-24,0.46,0.48,0.56,0.74,0.98,1.22,1.46,1.68,1.88,2.06,2.22,4.1173515587107685,-3.5722118986684324,-4.641916924606075,1.2215915718843946
2009-02-25,0.45,0.44,0.51,0.72,0.96,1.21,1.45,1.68,1.89,2.07,2.23,4.044456564206102,-3.47055001412389,-4.876203773277618,1.136887248682591
2009-02-26,0.42,0.43,0.52,0.75,1.0,1.26,1.51,1.74,1.95,2.14,2.31,4.177709742141024,-3.6703851357895845,-4.810696094578377,1.1568545127665706
2009-02-27,0.41,0.42,0.51,0.73,0.99,1.25,1.5,1.74,1.95,2.14,2.32,4.248210626285505,-3.7477148505111177,-4.9181325568231955,1.1727831635926915
2009-03-02,0.39,0.38,0.46,0.67,0.93,1.19,1.44,1.67,1.88,2.07,2.24,4.0705300156099815,-3.55300953348741,-4.993624725774895,1.1205287117382992
2009-03-03,0.36,0.37,0.45,0.66,0.92,1.17,1.42,1.65,1.85,2.04,2.21,4.053692029471921,-3.5914500912403247,-4.822506134602941,1.1508612737818913
2009-03-04,0.37,0.38,0.45,0.66,0.91,1.17,1.41,1.64,1.86,2.05,2.22,4.176614751222654,-3.704977978449235,-4.949829994903337,1.192731831609601
2009-03-05,0.47,0.5,0.58,0.76,0.98,1.21,1.43,1.65,1.84,2.01,2.17,4.078440804841146,-3.5525019485335827,-4.373975287702979,1.286752780292108
2009-03-06,0.52,0.56,0.64,0.82,1.02,1.22,1.43,1.63,1.81,1.98,2.13,4.102839049420156,-3.567906278107203,-4.020606055810195,1.4196099434820324
2009-03-09,0.5,0.55,0.65,0.84,1.06,1.27,1.48,1.68,1.85,2.01,2.16,3.8725921405558212,-3.365554893656075,-3.749784123124936,1.2865961830876866
2009-03-10,0.5,0.54,0.63,0.82,1.04,1.26,1.48,1.68,1.86,2.03,2.17,3.896672033355732,-3.3604495842356785,-3.9978560553465927,1.2426604480151295
2009-03-11,0.49,0.54,0.63,0.81,1.04,1.26,1.48,1.68,1.87,2.03,2.18,3.960080088703185,-3.4380636414659955,-4.020822893554335,1.2700791712695176
2009-03-12,0.46,0.53,0.62,0.82,1.05,1.28,1.49,1.69,1.87,2.03,2.17,3.8238627398379226,-3.3463999859574223,-3.785319298363511,1.2237317807398815
2009-03-13,0.47,0.51,0.61,0.83,1.08,1.32,1.55,1.75,1.93,2.09,2.23,3.7059449386696612,-3.1702511877879225,-4.036782720157373,1.0600683057417217
2009-03-16,0.46,0.52,0.63,0.87,1.12,1.37,1.6,1.8,1.98,2.14,2.28,3.7410986541979265,-3.2413617127822807,-3.91188633550516,1.0566510346430749
2009-03-17,0.43,0.49,0.61,0.85,1.11,1.36,1.59,1.8,1.98,2.14,2.28,3.7483705051460094,-3.281470106123127,-3.9402610647905347,1.0501812919830544
2009-03-18,0.43,0.46,0.56,0.79,1.04,1.29,1.53,1.74,1.93,2.1,2.25,3.8359344919300358,-3.3327502237812725,-4.2918173839952285,1.0803220865312244
2009-03-19,0.42,0.46,0.55,0.78,1.03,1.28,1.52,1.73,1.93,2.1,2.25,3.9028177298966558,-3.4146570188718757,-4.327113115420911,1.111459964792541
2009-03-20,0.42,0.44,0.52,0.73,0.99,1.25,1.49,1.7,1.9,2.07,2.22,3.8293880961093425,-3.2924046233314446,-4.555419793721333,1.0616666434089992
2009-03-23,0.43,0.46,0.56,0.78,1.04,1.31,1.55,1.77,1.96,2.13,2.28,3.8632356451186673,-3.3349508130442365,-4.458985138588811,1.049586885760736
2009-03-24,0.46,0.51,0.61,0.85,1.14,1.42,1.67,1.89,2.08,2.25,2.4,3.911405681674307,-3.343471331536203,-4.506375693628306,0.9885784617901868
2009-03-25,0.46,0.51,0.61,0.85,1.14,1.41,1.66,1.89,2.08,2.25,2.39,3.916848044936842,-3.3515871380477815,-4.496657931066311,0.9955495240107147
2009-03-26,0.46,0.5,0.6,0.85,1.14,1.42,1.68,1.9,2.1,2.27,2.41,3.919216428783521,-3.3334663403314497,-4.627652850646643,0.9676552272001169
2009-03-27,0.45,0.48,0.57,0.8,1.09,1.38,1.64,1.86,2.06,2.22,2.37,3.8764132941046503,-3.268225927796597,-4.7653180946878315,0.9575944357629343
2009-03-30,0.45,0.47,0.54,0.78,1.07,1.35,1.61,1.83,2.02,2.19,2.33,3.794116330295442,-3.159246430806186,-4.822693550141882,0.9342013591642123
2009-03-31,0.44,0.46,0.53,0.76,1.04,1.32,1.58,1.8,1.99,2.15,2.29,3.7523864387361248,-3.1276190274192954,-4.78145183505654,0.9406976960762017
2009-04-01,0.45,0.46,0.53,0.74,1.0,1.27,1.52,1.75,1.94,2.11,2.26,3.8659464934568,-3.2587620436297033,-4.791862427043732,1.02628584731734
2009-04-02,0.47,0.51,0.6,0.83,1.11,1.39,1.65,1.87,2.07,2.24,2.39,3.976160846250648,-3.3822007549349484,-4.665591778531663,1.012076804885003
2009-04-03,0.47,0.52,0.65,0.93,1.23,1.53,1.79,2.03,2.23,2.4,2.55,4.067342251463816,-3.495166910183298,-4.65803316498261,0.9501054235725188
2009-04-06,0.45,0.49,0.63,0.92,1.24,1.54,1.81,2.05,2.25,2.42,2.57,4.036584148852027,-3.4598532477852384,-4.794303119472211,0.9044917444330856
2009-04-07,0.43,0.48,0.6,0.89,1.2,1.5,1.77,2.01,2.21,2.39,2.54,4.071293942432659,-3.523983827002069,-4.791376621802332,0.9397251079490694
2009-04-08,0.44,0.49,0.61,0.89,1.21,1.51,1.78,2.02,2.22,2.39,2.53,4.008396443515266,-3.429481560912417,-4.811771799685449,0.909378403621358
2009-04-09,0.43,0.47,0.59,0.88,1.2,1.5,1.77,2.0,2.2,2.37,2.51,3.935974256936834,-3.352102519644883,-4.832410859554383,0.8835517688347096
2009-04-14,0.43,0.47,0.58,0.86,1.17,1.47,1.73,1.96,2.15,2.31,2.45,3.829993700450855,-3.2363014173045146,-4.751240135453353,0.8756147336012741
2009-04-15,0.44,0.48,0.6,0.88,1.19,1.48,1.75,1.98,2.17,2.34,2.48,3.9046425881870093,-3.323162555669077,-4.721112269746586,0.899378055138985
2009-04-16,0.44,0.49,0.61,0.89,1.2,1.49,1.75,1.98,2.17,2.33,2.47,3.861871084604072,-3.2902192593765394,-4.608026825907091,0.8945072306724063
2009-04-17,0.45,0.53,0.67,0.98,1.3,1.6,1.87,2.1,2.29,2.45,2.59,3.963589318335998,-3.4158159795909704,-4.515222654648246,0.8776625793911674
2009-04-20,0.45,0.51,0.64,0.94,1.26,1.56,1.83,2.05,2.23,2.39,2.52,3.8184835162066793,-3.220591985008946,-4.614922665242249,0.8363013861186269
2009-04-21,0.45,0.52,0.66,0.97,1.3,1.6,1.86,2.08,2.26,2.42,2.56,3.8404794152803476,-3.265969392494191,-4.525335207066107,0.8342541683109262
2009-04-22,0.43,0.5,0.66,0.99,1.33,1.64,1.91,2.13,2.31,2.47,2.6,3.842310028363908,-3.271544937793946,-4.6362023946775,0.7928267892632632
2009-04-23,0.43,0.48,0.63,0.95,1.29,1.6,1.88,2.11,2.3,2.47,2.61,3.953697955121013,-3.3688397725828017,-4.851961676043183,0.8273999370944973
2009-04-24,0.41,0.46,0.6,0.91,1.25,1.57,1.84,2.07,2.25,2.41,2.55,3.8406629942329857,-3.246978603205699,-4.868076376890443,0.803709638771532
2009-04-27,0.42,0.47,0.6,0.91,1.25,1.55,1.82,2.04,2.22,2.38,2.51,3.7665738866541525,-3.1627515150056302,-4.770650822226671,0.7990425384276159
2009-04-28,0.43,0.49,0.62,0.91,1.22,1.52,1.78,2.0,2.18,2.34,2.48,3.8044677385328347,-3.2481604278080844,-4.516790170099472,0.8659145623823659
2009-04-29,0.41,0.47,0.59,0.87,1.17,1.46,1.72,1.94,2.12,2.29,2.42,3.791410321163708,-3.2659500573308042,-4.465146372729566,0.8995689244415017
2009-04-30,0.41,0.45,0.56,0.82,1.12,1.41,1.66,1.89,2.08,2.24,2.39,3.8220848301095103,-3.278339930975881,-4.617556253868842,0.925891029161627
2009-05-01,0.44,0.49,0.61,0.87,1.16,1.45,1.71,1.94,2.14,2.3,2.45,3.9610713237303186,-3.4172723955970428,-4.568700080987249,0.9668497789080277
2009-05-05,0.42,0.49,0.63,0.92,1.25,1.55,1.81,2.04,2.22,2.38,2.52,3.8522890402682917,-3.3131259906827415,-4.537168412972328,0.860315160380081
2009-05-06,0.42,0.47,0.6,0.91,1.25,1.56,1.84,2.07,2.27,2.44,2.58,3.971315605129715,-3.386294590994285,-4.9274352275953985,0.8465561237387943
2009-05-07,0.41,0.46,0.61,0.94,1.3,1.64,1.94,2.19,2.4,2.57,2.73,4.198945400016286,-3.6082187285271283,-5.281555338674928,0.8369291491716441
2009-05-08,0.41,0.46,0.6,0.92,1.28,1.63,1.94,2.2,2.42,2.6,2.76,4.339981863403552,-3.7441667712556015,-5.466128929151287,0.8676271721545641
2009-05-11,0.44,0.51,0.65,0.97,1.33,1.66,1.96,2.21,2.42,2.6,2.75,4.268177571512418,-3.6780753586399824,-5.149955990965868,0.8697451850522142
2009-05-12,0.44,0.51,0.64,0.96,1.31,1.64,1.94,2.19,2.4,2.58,2.73,4.263364899477178,-3.6720746297649915,-5.1480118143188225,0.8794590536296822
2009-05-13,0.42,0.47,0.57,0.84,1.16,1.48,1.76,2.0,2.21,2.39,2.54,4.124840010015765,-3.543149357908847,-5.078872331806042,0.9344044765627361
2009-05-14,0.43,0.48,0.58,0.84,1.15,1.47,1.75,2.0,2.22,2.4,2.55,4.233694970263368,-3.6540258126915424,-5.128107233753193,0.9758986206268111
2009-05-15,0.42,0.47,0.57,0.82,1.14,1.47,1.76,2.02,2.24,2.42,2.58,4.314848861229835,-3.7295566825720723,-5.309046025258304,0.9776117338227802
2009-05-18,0.42,0.46,0.55,0.81,1.15,1.49,1.8,2.06,2.28,2.46,2.61,4.285674899708649,-3.6408082632392134,-5.583052204558616,0.9165075653899666
2009-05-19,0.42,0.46,0.55,0.8,1.13,1.47,1.78,2.05,2.27,2.45,2.61,4.360683150457542,-3.7284518542496228,-5.611686655877801,0.9496933199286601
2009-05-20,0.43,0.47,0.56,0.82,1.15,1.49,1.8,2.07,2.3,2.49,2.65,4.45667874105999,-3.826310003752906,-5.6596940939846645,0.9672359173680942
2009-05-21,0.44,0.49,0.59,0.84,1.17,1.52,1.84,2.11,2.34,2.53,2.7,4.560193162863607,-3.932240641358277,-5.682459933898025,0.9852359069472433
2009-05-22,0.45,0.49,0.58,0.83,1.16,1.51,1.82,2.09,2.32,2.52,2.68,4.531946720424156,-3.87934713272562,-5.734166903900554,0.9795195914296774
2009-05-26,0.44,0.49,0.58,0.83,1.17,1.52,1.83,2.11,2.33,2.52,2.68,4.482256544747541,-3.8333002202700115,-5.697124163236419,0.9583121601054482
2009-05-27,0.42,0.47,0.58,0.85,1.19,1.54,1.86,2.13,2.36,2.55,2.7,4.471902439522978,-3.8573069236628736,-5.637014315305855,0.9422547304770306
2009-05-28,0.45,0.48,0.59,0.86,1.21,1.56,1.89,2.17,2.4,2.6,2.76,4.583242780451344,-3.9152534876957326,-5.884313916053868,0.9417286636194
2009-05-29,0.42,0.45,0.54,0.8,1.15,1.51,1.83,2.11,2.35,2.54,2.71,4.554165395021011,-3.8965049007895107,-5.984356143711851,0.9464620977150451
2009-06-01,0.43,0.48,0.59,0.88,1.26,1.63,1.97,2.25,2.48,2.67,2.83,4.5763847216211095,-3.9013269330598863,-5.989593685723317,0.8882020660686378
2009-06-02,0.44,0.47,0.58,0.87,1.24,1.61,1.94,2.23,2.47,2.66,2.83,4.631841546938603,-3.9458453906372277,-6.0869127920953785,0.9073020723612266
2009-06-03,0.43,0.48,0.58,0.86,1.23,1.6,1.93,2.21,2.45,2.64,2.81,4.622424874021251,-3.961094657692609,-5.984118499598171,0.9216408297602716
2009-06-04,0.44,0.5,0.63,0.93,1.31,1.69,2.03,2.31,2.55,2.74,2.91,4.695012596051626,-4.0439491376582035,-5.941356627347167,0.9024475507606943
2009-06-05,0.45,0.57,0.76,1.12,1.52,1.91,2.24,2.52,2.74,2.92,3.07,4.66389286909627,-4.08286239437172,-5.448684668342824,0.8373489062697846
2009-06-08,0.46,0.59,0.83,1.26,1.69,2.08,2.4,2.67,2.88,3.05,3.19,4.579330195658627,-3.9795871672837846,-5.436826406693763,0.7374147689758311
2009-06-09,0.45,0.56,0.79,1.21,1.64,2.03,2.36,2.62,2.84,3.01,3.15,4.555882617797781,-3.9309183869631426,-5.5893690811045085,0.7376292392414835
2009-06-10,0.45,0.55,0.77,1.2,1.65,2.06,2.4,2.67,2.88,3.05,3.19,4.590926753373481,-3.8874035047761355,-5.972898238662868,0.7070187906855198
2009-06-11,0.46,0.56,0.78,1.24,1.7,2.1,2.43,2.7,2.92,3.09,3.23,4.603026027957925,-3.88286730638613,-6.01394216459674,0.6925341519526373
2009-06-12,0.45,0.55,0.76,1.2,1.65,2.05,2.39,2.66,2.88,3.05,3.2,4.620066585574932,-3.928288304170568,-5.962885859734584,0.7179615708291196
2009-06-15,0.45,0.55,0.75,1.16,1.61,2.0,2.33,2.6,2.81,2.98,3.12,4.523417880569918,-3.8326920730459815,-5.834405784066709,0.7235608683120454
2009-06-16,0.45,0.54,0.73,1.15,1.59,1.99,2.32,2.59,2.81,2.98,3.13,4.561178612194477,-3.8583317992113892,-5.943423023287126,0.7303279962964545
2009-06-17,0.46,0.55,0.72,1.12,1.56,1.96,2.29,2.55,2.77,2.94,3.08,4.507019377480668,-3.7738118930439413,-5.94403774583504,0.7313958672708828
2009-06-18,0.48,0.58,0.77,1.18,1.63,2.04,2.38,2.66,2.88,3.05,3.2,4.6787075459308785,-3.946359043066569,-6.028221429676789,0.738938608649254
2009-06-19,0.45,0.55,0.72,1.12,1.56,1.97,2.31,2.59,2.81,3.0,3.14,4.672227695056689,-3.977077392502478,-6.021527002366415,0.7629861233933434
2009-06-22,0.45,0.53,0.7,1.08,1.51,1.92,2.27,2.55,2.77,2.95,3.1,4.64933092305176,-3.9340891804775246,-6.10006530719221,0.7695444774699571
2009-06-23,0.45,0.53,0.71,1.1,1.55,1.97,2.32,2.6,2.83,3.0,3.15,4.679412453562429,-3.939613706814974,-6.240238833093106,0.7470901066735868
2009-06-24,0.44,0.52,0.69,1.07,1.52,1.94,2.29,2.57,2.8,2.98,3.12,4.673292834251222,-3.9401265083351706,-6.257364258289666,0.7554876221319201
2009-06-25,0.43,0.49,0.65,1.03,1.47,1.89,2.24,2.52,2.75,2.93,3.08,4.6391053330225205,-3.892870416040414,-6.353355538785803,0.7576151069541296
2009-06-26,0.44,0.51,0.67,1.03,1.45,1.86,2.21,2.5,2.73,2.92,3.07,4.715771569511445,-4.018869234717837,-6.16631577652047,0.8059257582613853
2009-06-29,0.44,0.53,0.71,1.12,1.57,1.98,2.32,2.59,2.81,2.98,3.12,4.567367793385373,-3.8397065729213233,-6.100284753151918,0.7234876982554425
2009-06-30,0.44,0.53,0.73,1.14,1.59,2.0,2.34,2.61,2.83,3.0,3.15,4.598751434493076,-3.895987282566078,-6.037664669766893,0.727878207693761
2009-07-01,0.43,0.52,0.73,1.16,1.62,2.04,2.38,2.66,2.88,3.06,3.2,4.657165904235072,-3.950952747087385,-6.179796884690411,0.7155408628492903
2009-07-02,0.41,0.49,0.67,1.06,1.51,1.92,2.26,2.55,2.78,2.96,3.11,4.664728040273948,-3.989627771390314,-6.170170840954585,0.762913891958145
2009-07-03,0.42,0.5,0.67,1.05,1.49,1.9,2.25,2.53,2.76,2.95,3.1,4.688015902760638,-4.009080854555911,-6.1571919718047905,0.7796227937336621
2009-07-06,0.43,0.5,0.66,1.03,1.47,1.88,2.24,2.53,2.76,2.95,3.1,4.730919954082583,-4.019129875177712,-6.305663314008985,0.7867747962305681
2009-07-07,0.42,0.49,0.64,1.0,1.42,1.83,2.18,2.47,2.71,2.9,3.05,4.72567190269994,-4.045870058208646,-6.215989257607248,0.8144337490306648
2009-07-08,0.42,0.48,0.63,0.96,1.37,1.77,2.12,2.41,2.64,2.84,2.99,4.699023741925741,-4.0296783884618765,-6.147908685892732,0.839398205708037
2009-07-09,0.45,0.53,0.69,1.05,1.46,1.86,2.21,2.5,2.74,2.93,3.08,4.771098475210449,-4.102432664980966,-6.034793041947327,0.8331874370109019
2009-07-10,0.43,0.5,0.65,1.0,1.4,1.8,2.14,2.42,2.66,2.85,3.01,4.692386125631873,-4.039659532668217,-5.998840165061717,0.841299373272635
2009-07-13,0.44,0.51,0.67,1.01,1.42,1.82,2.16,2.44,2.66,2.84,2.99,4.579006271295885,-3.8914957211641887,-5.957904437600425,0.8052028956866464
2009-07-14,0.43,0.52,0.69,1.05,1.47,1.87,2.21,2.49,2.71,2.89,3.04,4.6100141636411145,-3.9569688978001265,-5.875944206209363,0.7970943506142557
2009-07-15,0.43,0.53,0.73,1.12,1.56,1.97,2.31,2.59,2.81,2.99,3.14,4.662614873477798,-4.015981518872928,-5.90994559858498,0.7657369421232039
2009-07-16,0.43,0.5,0.68,1.06,1.49,1.9,2.24,2.51,2.74,2.92,3.07,4.59905122931257,-3.906407925017044,-6.068505145216239,0.7656384700439935
2009-07-17,0.41,0.5,0.69,1.1,1.54,1.95,2.3,2.58,2.8,2.98,3.13,4.642686716751251,-3.981312029064836,-6.076441689660495,0.7502539727404343
2009-07-20,0.43,0.52,0.73,1.15,1.61,2.03,2.37,2.65,2.87,3.05,3.19,4.65628137191265,-3.954648165888605,-6.157447584337265,0.7211031363799045
2009-07-21,0.42,0.5,0.69,1.09,1.54,1.94,2.28,2.56,2.79,2.98,3.13,4.667720358441222,-4.0040208118938745,-6.076080059256306,0.7632662943548698
2009-07-22,0.43,0.52,0.73,1.16,1.62,2.03,2.38,2.66,2.89,3.07,3.22,4.717834821340004,-4.033763890661384,-6.162139406921961,0.7333709670689628
2009-07-23,0.43,0.55,0.78,1.23,1.7,2.13,2.48,2.77,2.99,3.18,3.33,4.837569390858972,-4.186821585799958,-6.135493137635899,0.7289129389003943
2009-07-24,0.43,0.53,0.74,1.2,1.68,2.11,2.47,2.75,2.98,3.17,3.32,4.822532761988691,-4.107286880544611,-6.410363967150425,0.7128364953994207
2009-07-27,0.43,0.54,0.78,1.25,1.74,2.18,2.54,2.82,3.05,3.23,3.37,4.835829944814539,-4.120150312839333,-6.420001107237015,0.6902127075141368
2009-07-28,0.43,0.54,0.77,1.23,1.71,2.13,2.49,2.77,2.99,3.17,3.31,4.762327846003371,-4.064082056122395,-6.258796952324479,0.6989922334663473
2009-07-29,0.42,0.53,0.76,1.21,1.69,2.12,2.47,2.76,2.99,3.17,3.33,4.837551435178113,-4.17530732401615,-6.2506651825405095,0.7232565476772331
2009-07-30,0.43,0.52,0.74,1.19,1.68,2.11,2.47,2.76,2.99,3.17,3.32,4.820938199412191,-4.085573883683678,-6.499001640524121,0.7057839260072173
2009-07-31,0.42,0.52,0.73,1.17,1.65,2.08,2.44,2.72,2.94,3.12,3.27,4.7508570269530015,-4.0362264173877085,-6.367832124343158,0.708629455464609
2009-08-03,0.44,0.56,0.81,1.3,1.79,2.22,2.57,2.85,3.06,3.23,3.37,4.7468033941825585,-4.015424698339702,-6.3206682258056475,0.6618724516129912
2009-08-04,0.46,0.63,0.9,1.39,1.88,2.31,2.65,2.91,3.12,3.28,3.41,4.73161383646346,-4.058187553345705,-5.929443435565801,0.6553178001291691
2009-08-05,0.45,0.64,0.93,1.42,1.9,2.31,2.64,2.9,3.1,3.26,3.38,4.6595806456881625,-4.063020557001724,-5.579593235448467,0.6564556562458083
2009-08-06,0.46,0.59,0.84,1.33,1.82,2.24,2.58,2.85,3.06,3.23,3.36,4.698659037186667,-3.962467256197079,-6.171496460961233,0.6554915892470166
2009-08-07,0.46,0.6,0.88,1.39,1.88,2.3,2.64,2.92,3.13,3.3,3.44,4.781885377499963,-4.088353633702353,-6.106636428263082,0.6563500572499298
2009-08-10,0.45,0.56,0.8,1.29,1.78,2.2,2.55,2.82,3.04,3.21,3.35,4.7208342143466,-3.966964032555138,-6.336620029496894,0.6622599543090437
2009-08-11,0.44,0.56,0.8,1.28,1.76,2.18,2.52,2.79,3.01,3.18,3.33,4.70895334949074,-4.011314039483346,-6.1402061859130885,0.6794453453782642
2009-08-12,0.4,0.48,0.69,1.16,1.64,2.06,2.42,2.7,2.93,3.12,3.27,4.748810931467316,-4.034136663036664,-6.503370717901458,0.701318423230503
2009-08-13,0.36,0.44,0.67,1.14,1.62,2.05,2.41,2.7,2.93,3.13,3.28,4.795082134730887,-4.143965971504162,-6.514008242999141,0.7105883677626785
2009-08-14,0.37,0.44,0.66,1.12,1.59,2.0,2.35,2.64,2.87,3.06,3.22,4.715510146122417,-4.063960268550664,-6.379531071133816,0.7190858271140553
2009-08-17,0.38,0.48,0.71,1.16,1.62,2.03,2.37,2.64,2.86,3.04,3.18,4.594002246846294,-3.96708987425316,-6.041907464477761,0.7048010786030448
2009-08-18,0.38,0.49,0.72,1.19,1.66,2.07,2.41,2.68,2.9,3.08,3.22,4.616314458413637,-3.9835294102553167,-6.088027214606081,0.6920381816085878
2009-08-19,0.36,0.44,0.67,1.12,1.58,2.0,2.34,2.62,2.84,3.02,3.17,4.604413410197196,-3.9663854947570263,-6.227171771722672,0.703818540548948
