date,3,6,9,12,15,18,21,24,30,36,48,60,beta0,beta1,beta2
2016-01-04,0.004699999999999999,0.0049,0.0052,0.005600000000000001,0.0060999999999999995,0.0066,0.0072,0.0077,0.0086,0.009399999999999999,0.010700000000000001,0.0118,0.01663488616280551,-0.01197801121348064,-0.012882730652429234
2016-01-05,0.004699999999999999,0.0048,0.0051,0.0054,0.0059,0.0064,0.0069,0.0073,0.008199999999999999,0.009000000000000001,0.0104,0.0116,0.01649294171349871,-0.011644676641103503,-0.013955236656125703
2016-01-06,0.004699999999999999,0.0048,0.0049,0.0053,0.005600000000000001,0.0060999999999999995,0.006500000000000001,0.0069,0.0077,0.0085,0.0098,0.0109,0.015543433758412661,-0.010575858590965253,-0.013666972140280292
2016-01-07,0.004699999999999999,0.004699999999999999,0.0049,0.0051,0.0055000000000000005,0.0059,0.0063,0.0067,0.0075,0.008199999999999999,0.0095,0.0106,0.015144493198123776,-0.010133418914537184,-0.01367524321849162
2016-01-08,0.004699999999999999,0.004699999999999999,0.0048,0.005,0.0053,0.005699999999999999,0.0060999999999999995,0.006500000000000001,0.0072,0.0079,0.0092,0.0104,0.014912276887421283,-0.009761670817572244,-0.014218981657639011
2016-01-11,0.004699999999999999,0.004699999999999999,0.0048,0.005,0.0053,0.005600000000000001,0.0059,0.0063,0.0070999999999999995,0.0078000000000000005,0.009000000000000001,0.0102,0.014627618644646264,-0.009413832480202276,-0.014156067608632032
2016-01-12,0.004699999999999999,0.004699999999999999,0.0048,0.0049,0.0051,0.0054,0.0058,0.0060999999999999995,0.0068000000000000005,0.0075,0.0087,0.009899999999999999,0.014207828219865768,-0.008890078380435127,-0.014214945025768297
2016-01-13,0.004699999999999999,0.004699999999999999,0.0048,0.005,0.0052,0.0055000000000000005,0.0059,0.0062,0.0069,0.0075,0.0088,0.009899999999999999,0.014101576166639561,-0.008876996866748635,-0.013567633514332003
2016-01-14,0.004699999999999999,0.004699999999999999,0.0048,0.0049,0.0052,0.0055000000000000005,0.0058,0.0060999999999999995,0.0068000000000000005,0.0074,0.0087,0.009899999999999999,0.014090919404487841,-0.00879869375502847,-0.013892851645917647
2016-01-15,0.0046,0.0046,0.0045000000000000005,0.0045000000000000005,0.0046,0.0048,0.005,0.0053,0.0058,0.0064,0.0076,0.0087,0.012562006707759624,-0.0070641853900974775,-0.014023693410196388
2016-01-18,0.0046,0.0046,0.0046,0.004699999999999999,0.0049,0.0051,0.0054,0.005699999999999999,0.0062,0.0068000000000000005,0.008,0.0092,0.013040512205926325,-0.007740481249360562,-0.013407889344865621
2016-01-19,0.0046,0.0046,0.0046,0.0046,0.0048,0.005,0.0053,0.005600000000000001,0.0062,0.0068000000000000005,0.008,0.0092,0.013230416309168358,-0.007844760539008325,-0.014138868497428608
2016-01-20,0.0046,0.0046,0.0045000000000000005,0.0045000000000000005,0.0046,0.004699999999999999,0.0049,0.0052,0.005699999999999999,0.0063,0.0075,0.0086,0.012427065419553376,-0.0068722787925691,-0.014111422676080922
2016-01-21,0.0046,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,0.0046,0.0048,0.0051,0.0054,0.006,0.0066,0.0078000000000000005,0.009000000000000001,0.013101205417503618,-0.007645931032856764,-0.014674521163922725
2016-01-22,0.0046,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,0.004699999999999999,0.0049,0.0052,0.0055000000000000005,0.0062,0.0069,0.008199999999999999,0.009399999999999999,0.013887352553725318,-0.008412424444198,-0.015711767756699347
2016-01-25,0.0046,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,0.0046,0.0048,0.0051,0.0054,0.0060999999999999995,0.0067,0.008,0.0092,0.013555495629652978,-0.008042969424396149,-0.015500624717679636
2016-01-26,0.0046,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,0.004699999999999999,0.0049,0.0052,0.0055000000000000005,0.0060999999999999995,0.0068000000000000005,0.008,0.0092,0.013433062341575963,-0.008015386052658625,-0.014885664202942447
2016-01-27,0.0046,0.0045000000000000005,0.0045000000000000005,0.0046,0.004699999999999999,0.005,0.0053,0.005600000000000001,0.0062,0.0069,0.008199999999999999,0.009399999999999999,0.01374221158924731,-0.008338917928219646,-0.015134025759535263
2016-01-28,0.0046,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,0.0046,0.0049,0.0051,0.0054,0.006,0.0067,0.008,0.0092,0.013512417290149955,-0.008001961573005305,-0.015409883860077328
2016-01-29,0.0046,0.0044,0.0042,0.0040999999999999995,0.0040999999999999995,0.0042,0.0044,0.0046,0.0051,0.005699999999999999,0.0068000000000000005,0.008,0.011878878281138823,-0.006134034747455835,-0.015288661716906448
2016-02-01,0.0046,0.0044,0.0043,0.0043,0.0043,0.0045000000000000005,0.004699999999999999,0.005,0.005600000000000001,0.0060999999999999995,0.0073,0.0085,0.012522467573385675,-0.006944305857532281,-0.015069109744220524
2016-02-02,0.0046,0.0044,0.0042,0.0042,0.0042,0.0043,0.0044,0.0046,0.0051,0.005600000000000001,0.0067,0.0078000000000000005,0.011381485386703848,-0.005737574061741118,-0.014113846460283203
2016-02-03,0.0045000000000000005,0.0044,0.0042,0.004,0.004,0.0040999999999999995,0.0042,0.0044,0.0048,0.0052,0.0062,0.0072,0.010392550187847547,-0.004826054451838485,-0.012958858193220499
2016-02-04,0.0046,0.0044,0.0042,0.0040999999999999995,0.0040999999999999995,0.0040999999999999995,0.0043,0.0044,0.0048,0.0052,0.0063,0.0074,0.010675253048529211,-0.004974725992361664,-0.013567377261717384
2016-02-05,0.0046,0.0044,0.0043,0.0042,0.0042,0.0042,0.0043,0.0044,0.0048,0.0052,0.0062,0.0073,0.010313685869444136,-0.004672033080887995,-0.012650567520698083
2016-02-08,0.0046,0.0045000000000000005,0.0043,0.0040999999999999995,0.004,0.004,0.004,0.004,0.0042,0.0044,0.0052,0.0060999999999999995,0.008138372631437874,-0.002499401395459582,-0.009887324942526247
2016-02-09,0.0046,0.0043,0.0040999999999999995,0.0039000000000000003,0.0037,0.0036,0.0036,0.0036,0.0037,0.004,0.004699999999999999,0.005600000000000001,0.007622576271825132,-0.001882252413890566,-0.01043139902666182
2016-02-10,0.0046,0.0044,0.0042,0.0040999999999999995,0.004,0.0039000000000000003,0.0039000000000000003,0.004,0.0040999999999999995,0.0044,0.0051,0.006,0.008018250067887542,-0.002430042976439151,-0.009779235555744923
2016-02-11,0.0045000000000000005,0.0040999999999999995,0.0037,0.0034000000000000002,0.0032,0.0031,0.003,0.003,0.0031,0.0033,0.004,0.0048,0.006823963744124343,-0.0010403872396964088,-0.011038119451449023
2016-02-12,0.0046,0.0044,0.0040999999999999995,0.0039000000000000003,0.0038,0.0037,0.0038,0.0038,0.004,0.0043,0.0051,0.006,0.00835477822921494,-0.0026112222637024287,-0.011189416531482463
2016-02-15,0.0046,0.0044,0.0042,0.004,0.0039000000000000003,0.0039000000000000003,0.0039000000000000003,0.004,0.0042,0.0045000000000000005,0.0052,0.0060999999999999995,0.008343095459335825,-0.0027262288636152945,-0.010422485442423381
2016-02-16,0.0046,0.0044,0.0042,0.004,0.0039000000000000003,0.0039000000000000003,0.0039000000000000003,0.004,0.0042,0.0044,0.0052,0.0060999999999999995,0.008314283010215074,-0.002687498627025147,-0.010419619105581682
